"freq"	"prev"	"p.freq"	"p.prev"	"p"	"contaminant"
"Zotu72:Pseudomonas_alcaliphila"	0.00127497988206213	11	NA	0.000417710944026706	0.000417710944026706	TRUE
"Zotu360:Brachybacterium_rhamnosum"	8.51302159450167e-05	5	NA	0.0181134654818866	0.0181134654818866	TRUE
"Zotu50:Acinetobacter_gandensis"	0.00766865190304473	32	NA	0.0455178349915192	0.0455178349915192	TRUE
"Zotu298:Rhizobium_halophytocola"	9.7003705008118e-05	5	NA	0.0181134654818866	0.0181134654818866	TRUE
"Zotu100:Moraxellaceae_spc"	0.000349461393513108	8	NA	8.8605351763244e-05	8.8605351763244e-05	TRUE
"Zotu96:Lactobacillus_spc"	0.000345697001680487	10	NA	0.000265816055289732	0.000265816055289732	TRUE
"Zotu39:Acinetobacter_indicus"	0.00231557400872677	14	NA	0.00126705653021443	0.00126705653021443	TRUE
"Zotu77:Comamonas_denitrificans"	0.000279066626287815	9	NA	0.000159489633173884	0.000159489633173884	TRUE
"Zotu95:Hydrogenophilus_hirschii"	0.000517060413339419	15	NA	0.00172780435938326	0.00172780435938326	TRUE
"Zotu109:Delftia_spc"	0.00053724368459486	10	NA	0.000265816055289732	0.000265816055289732	TRUE
"Zotu44:Enhydrobacter_aerosaccus"	0.00838666957812797	27	NA	0.0222146274777854	0.0222146274777854	TRUE
"Zotu154:Acidovorax_defluvii"	0.00022464803303253	7	NA	4.4302675881622e-05	4.4302675881622e-05	TRUE
"Zotu124:Anoxybacillus_mongoliensis"	0.000581030554651679	10	NA	0.000265816055289732	0.000265816055289732	TRUE
"Zotu80:Moraxellaceae_spc"	0.000582408694594059	10	NA	0.000265816055289732	0.000265816055289732	TRUE
"Zotu265:WPS_1_genera_incertae_sedis_spc"	0.000171546142106488	5	NA	6.32895369740631e-06	6.32895369740631e-06	TRUE
"Zotu69:Acinetobacter_gandensis"	0.00203032585619608	21	NA	0.00757575757575757	0.00757575757575757	TRUE
"Zotu118:Thermicanus_spc"	0.00157119461499466	10	NA	0.0763841421736159	0.0763841421736159	TRUE
"Zotu41:Lactobacillus_spc"	0.0022904272097419	18	NA	0.00387331966279334	0.00387331966279334	TRUE
"Zotu98:Aquabacterium_parvum"	0.000567152473783088	11	NA	0.000417710944026706	0.000417710944026706	TRUE
"Zotu274:Alphaproteobacteria_spc"	7.37477193209639e-05	4	NA	0.000270879218247578	0.000270879218247578	TRUE
"Zotu250:Bacillus_bataviensis"	0.000107703185035933	5	NA	0.0181134654818866	0.0181134654818866	TRUE
"Zotu70:Acinetobacter_lwoffii"	0.00245599132967198	16	NA	0.00230373914584446	0.00230373914584446	TRUE
"Zotu365:Sphingomonas_aurantiaca"	0.000180620532799383	5	NA	0.0181134654818866	0.0181134654818866	TRUE
"Zotu152:Subdivision3_genera_incertae_sedis_spc"	0.00022179718304676	7	NA	4.4302675881622e-05	4.4302675881622e-05	TRUE
"Zotu286:Aquisphaera_spc"	0.000155200643040274	5	NA	6.32895369740631e-06	6.32895369740631e-06	TRUE
"Zotu56:Shewanella_haliotis"	0.00162294954367885	11	NA	0.000417710944026706	0.000417710944026706	TRUE
"Zotu173:Lactobacillaceae_spc"	0.000114656984803886	7	NA	4.4302675881622e-05	4.4302675881622e-05	TRUE
"Zotu190:Gammaproteobacteria_spc"	0.000104613750221838	5	NA	6.32895369740631e-06	6.32895369740631e-06	TRUE
"Zotu207:Halomonas_desiderata"	0.000108082106429517	4	NA	0.000270879218247578	0.000270879218247578	TRUE
"Zotu363:Halomonadaceae_spc"	0.000172337621910528	6	NA	1.89868610921078e-05	1.89868610921078e-05	TRUE
"Zotu202:Pseudoxanthomonas_mexicana"	0.000150533193643355	7	NA	4.4302675881622e-05	4.4302675881622e-05	TRUE
"Zotu104:Gammaproteobacteria_spc"	0.000298612415331237	7	NA	4.4302675881622e-05	4.4302675881622e-05	TRUE
"Zotu213:Alkanindiges_illinoisensis"	0.000155251097866488	8	NA	8.8605351763244e-05	8.8605351763244e-05	TRUE
"Zotu283:Gammaproteobacteria_spc"	6.26293516398805e-05	3	NA	0.00557074504442931	0.00557074504442931	TRUE
"Zotu205:Exiguobacterium_mexicanum"	0.000249890438773049	12	NA	0.000626566416040113	0.000626566416040113	TRUE
"Zotu226:Geobacillus_stearothermophilus"	0.000122679001001549	7	NA	4.4302675881622e-05	4.4302675881622e-05	TRUE
"Zotu268:Massilia_namucuonensis"	0.000100825625338906	7	NA	0.00230373914584446	0.00230373914584446	TRUE
"Zotu243:Veillonella_dispar"	0.000616680051802173	9	NA	0.00542264752791063	0.00542264752791063	TRUE
"Zotu57:Halomonas_alkaliphila"	0.00184378820203082	14	NA	0.00126705653021443	0.00126705653021443	TRUE
"Zotu263:Gammaproteobacteria_spc"	0.00014076435536497	5	NA	0.000670869091921673	0.000670869091921673	TRUE
"Zotu328:Tepidimonas_fonticaldi"	5.73510122988404e-05	5	NA	0.0181134654818866	0.0181134654818866	TRUE
"Zotu234:Massilia_norwichensis"	8.39406432676928e-05	4	NA	0.000270879218247578	0.000270879218247578	TRUE
"Zotu153:Phenylobacterium_spc"	0.00026093366410083	7	NA	4.4302675881622e-05	4.4302675881622e-05	TRUE
"Zotu197:Taonella_mepensis"	0.000165686469556851	7	NA	4.4302675881622e-05	4.4302675881622e-05	TRUE
"Zotu116:Lactobacillus_spc"	0.000335632118270265	10	NA	0.000265816055289732	0.000265816055289732	TRUE
"Zotu161:Betaproteobacteria_spc"	0.000145901346267535	6	NA	1.89868610921078e-05	1.89868610921078e-05	TRUE
"Zotu134:Schlegelella_thermodepolymerans"	0.000236221800002015	9	NA	0.000159489633173884	0.000159489633173884	TRUE
"Zotu156:Diplorickettsia_spc"	0.00021634428002932	8	NA	8.8605351763244e-05	8.8605351763244e-05	TRUE
"Zotu348:Gp17_spc"	8.0612713239815e-05	5	NA	6.32895369740631e-06	6.32895369740631e-06	TRUE
"Zotu133:Paracoccus_yeei"	0.000521889548322707	13	NA	0.000905040378724545	0.000905040378724545	TRUE
"Zotu142:Acinetobacter_beijerinckii"	0.000357286046610396	8	NA	8.8605351763244e-05	8.8605351763244e-05	TRUE
"Zotu136:Yersinia_nurmii"	0.00012714550823099	14	NA	0.0223462697146908	0.0223462697146908	TRUE
"Zotu318:Variovorax_ginsengisoli"	3.77838467638318e-05	8	NA	0.0488038277511963	0.0488038277511963	TRUE
"Zotu322:Pseudomonas_abietaniphila"	0.00014290959764503	6	NA	0.0268284347231716	0.0268284347231716	TRUE
"Zotu254:Sphingobium_yanoikuyae"	0.000318368477381189	9	NA	0.00542264752791063	0.00542264752791063	TRUE
"Zotu84:Ralstonia_pickettii"	0.00158173380705164	11	NA	0.000417710944026706	0.000417710944026706	TRUE
"Zotu78:Bacillus_anthracis"	0.0022532749876941	20	NA	0.00613275613275616	0.00613275613275616	TRUE
"Zotu221:Ralstonia_mannitolilytica"	0.000406806599695455	12	NA	0.0137844611528821	0.0137844611528821	TRUE
"Zotu91:Acinetobacter_johnsonii"	0.000361220600852533	10	NA	0.000265816055289732	0.000265816055289732	TRUE
"Zotu188:Micrococcus_luteus"	0.000820038648194985	10	NA	0.000265816055289732	0.000265816055289732	TRUE
"Zotu217:Brevibacterium_ammoniilyticum"	0.00054264041661622	8	NA	8.8605351763244e-05	8.8605351763244e-05	TRUE
"Zotu169:Burkholderia_sordidicola"	0.000297995470392003	8	NA	8.8605351763244e-05	8.8605351763244e-05	TRUE
"Zotu218:Cloacibacterium_normanense"	0.000172251956931184	9	NA	0.000159489633173884	0.000159489633173884	TRUE
"Zotu102:Pseudomonas_beteli"	0.00062832511380389	9	NA	0.000159489633173884	0.000159489633173884	TRUE
"Zotu155:Alphaproteobacteria_spc"	0.000156469533755347	5	NA	6.32895369740631e-06	6.32895369740631e-06	TRUE
"Zotu290:Gp1_spc"	7.44054836345171e-05	5	NA	0.000670869091921673	0.000670869091921673	TRUE
"Zotu259:Renibacterium_salmoninarum"	0.000244044340952103	6	NA	0.00132908027644869	0.00132908027644869	TRUE
"Zotu366:Rhodospirillaceae_spc"	6.76307982673411e-05	4	NA	0.000270879218247578	0.000270879218247578	TRUE
"Zotu157:Pseudomonas_psychrotolerans"	0.000611147428527959	9	NA	0.000159489633173884	0.000159489633173884	TRUE
"Zotu125:Gammaproteobacteria_spc"	0.000307067117007942	8	NA	8.8605351763244e-05	8.8605351763244e-05	TRUE
"Zotu187:Gp2_spc"	0.000152819723292164	6	NA	1.89868610921078e-05	1.89868610921078e-05	TRUE
"Zotu193:Knoellia_sinensis"	0.000285833507739771	8	NA	8.8605351763244e-05	8.8605351763244e-05	TRUE
"Zotu299:Planctomycetaceae_spc"	7.98065951360066e-05	5	NA	0.0181134654818866	0.0181134654818866	TRUE
"Zotu131:Sodalis_praecaptivus"	0.000392911281417744	8	NA	8.8605351763244e-05	8.8605351763244e-05	TRUE
"Zotu117:Phenylobacterium_spc"	0.00115006497924268	13	NA	0.000905040378724545	0.000905040378724545	TRUE
"Zotu132:Corynebacterium_tuberculostearicum"	0.000590427120682037	10	NA	0.00767069188121825	0.00767069188121825	TRUE
"Zotu305:Gp6_spc"	9.16885767367204e-05	6	NA	1.89868610921078e-05	1.89868610921078e-05	TRUE
"Zotu113:Bacilli_spc"	0.000240869348583162	8	NA	0.00365054049264573	0.00365054049264573	TRUE
"Zotu195:Gammaproteobacteria_spc"	0.000153464850228609	5	NA	0.000670869091921673	0.000670869091921673	TRUE
"Zotu261:Enterobacteriaceae_spc"	7.91689648105057e-05	4	NA	0.000270879218247578	0.000270879218247578	TRUE
"Zotu171:Pseudomonas_spc"	0.000181089049672159	8	NA	8.8605351763244e-05	8.8605351763244e-05	TRUE
"Zotu281:Aquicella_spc"	6.60764218078096e-05	3	NA	0.00557074504442931	0.00557074504442931	TRUE
"Zotu177:Brevundimonas_mediterranea"	0.000150209476073695	4	NA	0.000270879218247578	0.000270879218247578	TRUE
"Zotu239:Bacillus_litoralis"	9.59238006655247e-05	5	NA	0.000670869091921673	0.000670869091921673	TRUE
"Zotu292:Sphingomonas_oligoaromativorans"	0.000180720157625245	6	NA	1.89868610921078e-05	1.89868610921078e-05	TRUE
"Zotu224:Gammaproteobacteria_spc"	9.82722168248373e-05	6	NA	1.89868610921078e-05	1.89868610921078e-05	TRUE
"Zotu231:Gp16_spc"	0.000105087870195718	7	NA	4.4302675881622e-05	4.4302675881622e-05	TRUE
"Zotu209:Spirosoma_spc"	0.000149866397524951	7	NA	4.4302675881622e-05	4.4302675881622e-05	TRUE
"Zotu256:Paracoccus_caeni"	0.000463301646945226	12	NA	0.000626566416040113	0.000626566416040113	TRUE
"Zotu143:Acidisoma_spc"	0.000225514182052858	6	NA	1.89868610921078e-05	1.89868610921078e-05	TRUE
"Zotu336:Caulobacter_henricii"	5.11207372803243e-05	2	NA	0.0701754385964912	0.0701754385964912	TRUE
"Zotu128:Acidobacteria_Gp3_spc"	0.000304819996480801	7	NA	4.4302675881622e-05	4.4302675881622e-05	TRUE
"Zotu246:Halomonadaceae_spc"	0.000101553091252724	6	NA	1.89868610921078e-05	1.89868610921078e-05	TRUE
"Zotu206:Gp1_spc"	0.000175881177652949	5	NA	6.32895369740631e-06	6.32895369740631e-06	TRUE
"Zotu120:Methylobacterium_spc"	0.000515593552065075	10	NA	0.000265816055289732	0.000265816055289732	TRUE
"Zotu146:Haemophilus_haemoglobinophilus"	0.000248903544836964	3	NA	0.00557074504442931	0.00557074504442931	TRUE
"Zotu191:Neisseria_spc"	0.000255696636989736	8	NA	8.8605351763244e-05	8.8605351763244e-05	TRUE
"Zotu219:Thermicanus_spc"	0.000149956192557416	3	NA	0.00557074504442931	0.00557074504442931	TRUE
"Zotu297:Emticicia_spc"	0.000411404612487953	6	NA	1.89868610921078e-05	1.89868610921078e-05	TRUE
"Zotu343:Halomonadaceae_spc"	0.000211274960704085	3	NA	0.00557074504442931	0.00557074504442931	TRUE
"Zotu352:Empedobacter_falsenii"	0.00011509170344353	4	NA	0.000270879218247578	0.000270879218247578	TRUE
"Zotu58:Pseudomonas_aeruginosa"	0.0004907002827034	7	NA	4.4302675881622e-05	4.4302675881622e-05	TRUE
"Zotu235:Actinobacteria_spc"	0.000266174390487964	12	NA	0.000626566416040113	0.000626566416040113	TRUE
"Zotu145:Stenotrophomonas_maltophilia"	0.000311897448427155	7	NA	4.4302675881622e-05	4.4302675881622e-05	TRUE
"Zotu269:Williamsia_limnetica"	0.000218697150801057	7	NA	0.0370813397129187	0.0370813397129187	TRUE
"Zotu76:Porphyromonas_cangingivalis"	0.000492217665305023	2	NA	0.0701754385964912	0.0701754385964912	TRUE
"Zotu340:Massilia_namucuonensis"	3.39275338077425e-05	4	NA	0.000270879218247578	0.000270879218247578	TRUE
"Zotu138:Caulobacteraceae_spc"	0.00015082805228167	6	NA	1.89868610921078e-05	1.89868610921078e-05	TRUE
"Zotu223:Acidobacteria_Gp1_spc"	0.000109571936545909	4	NA	0.000270879218247578	0.000270879218247578	TRUE
"Zotu204:Shewanella_xiamenensis"	0.000117399002251608	5	NA	0.000670869091921673	0.000670869091921673	TRUE
"Zotu212:Sphingomonas_alpina"	3.81103282056533e-05	7	NA	4.4302675881622e-05	4.4302675881622e-05	TRUE
"Zotu107:Alphaproteobacteria_spc"	0.000287417954435028	7	NA	4.4302675881622e-05	4.4302675881622e-05	TRUE
"Zotu233:Aridibacter_spc"	0.000122412448607032	6	NA	1.89868610921078e-05	1.89868610921078e-05	TRUE
"Zotu237:Actinomyces_viscosus"	0.000378121029485759	7	NA	4.4302675881622e-05	4.4302675881622e-05	TRUE
"Zotu312:Corynebacterium_appendicis"	0.000357179656974515	3	NA	0.00557074504442931	0.00557074504442931	TRUE
"Zotu248:Gp2_spc"	6.00849402501842e-05	4	NA	0.000270879218247578	0.000270879218247578	TRUE
"Zotu310:Alphaproteobacteria_spc"	0.000102821673517461	4	NA	0.000270879218247578	0.000270879218247578	TRUE
"Zotu216:Corynebacterium_tuberculostearicum"	7.73405892613349e-05	3	NA	0.00557074504442931	0.00557074504442931	TRUE
"Zotu178:Nocardia_coeliaca"	0.000213159665682362	5	NA	0.000670869091921673	0.000670869091921673	TRUE
"Zotu164:Pseudoxanthomonas_mexicana"	0.000175783031272635	5	NA	6.32895369740631e-06	6.32895369740631e-06	TRUE
"Zotu148:Flavobacterium_aquaticum"	0.000213456402411093	5	NA	0.000670869091921673	0.000670869091921673	TRUE
"Zotu167:Chitinophagaceae_spc"	0.000139315452457166	6	NA	1.89868610921078e-05	1.89868610921078e-05	TRUE
"Zotu356:Micromonospora_rhizosphaerae"	5.02594191947927e-05	4	NA	0.000270879218247578	0.000270879218247578	TRUE
"Zotu321:Gp3_spc"	3.81863896678056e-05	4	NA	0.000270879218247578	0.000270879218247578	TRUE
"Zotu277:Gp2_spc"	8.88344458301588e-05	5	NA	0.000670869091921673	0.000670869091921673	TRUE
"Zotu201:Bradyrhizobiaceae_spc"	0.000120455272775353	5	NA	6.32895369740631e-06	6.32895369740631e-06	TRUE
"Zotu304:Proteobacteria_spc"	5.55140957586742e-05	3	NA	0.00557074504442931	0.00557074504442931	TRUE
"Zotu266:Gp2_spc"	0.00010073017252577	5	NA	6.32895369740631e-06	6.32895369740631e-06	TRUE
"Zotu247:Mucilaginibacter_spc"	9.61475534265573e-05	5	NA	6.32895369740631e-06	6.32895369740631e-06	TRUE
"Zotu174:Burkholderia_sordidicola"	1.84927484184587e-05	2	NA	0.00187969924812035	0.00187969924812035	TRUE
"Zotu162:Gp6_spc"	0.000121793665994998	4	NA	1.26579073950346e-06	1.26579073950346e-06	TRUE
"Zotu301:Halomonadaceae_spc"	6.75509349451276e-05	4	NA	1.26579073950346e-06	1.26579073950346e-06	TRUE
"Zotu367:Arthrobacter_psychrochitiniphilus"	4.56090653490098e-05	2	NA	0.00187969924812035	0.00187969924812035	TRUE
"Zotu130:Pseudonocardia_xishanensis"	0.000199312846481422	4	NA	1.26579073950346e-06	1.26579073950346e-06	TRUE
"Zotu331:Acidovorax_wautersii"	9.4266288042192e-05	4	NA	1.26579073950346e-06	1.26579073950346e-06	TRUE
"Zotu270:Gammaproteobacteria_spc"	7.61230996666298e-05	3	NA	6.83526999316327e-05	6.83526999316327e-05	TRUE
"Zotu359:Rhizobium_spc"	7.59314954262355e-05	4	NA	1.26579073950346e-06	1.26579073950346e-06	TRUE
"Zotu347:Alcaligenaceae_spc"	4.66374307717837e-05	2	NA	0.00187969924812035	0.00187969924812035	TRUE
"Zotu296:Bifidobacteriaceae_spc"	6.64076195078512e-05	3	NA	6.83526999316327e-05	6.83526999316327e-05	TRUE
"Zotu280:Mucilaginibacter_ximonensis"	4.78175108617809e-05	2	NA	0.00187969924812035	0.00187969924812035	TRUE
"Zotu350:Ralstonia_syzygii_subsp._indonesiensis"	2.08011649706274e-05	2	NA	0.00187969924812035	0.00187969924812035	TRUE
"Zotu316:Aurantimonadaceae_spc"	7.8633443377958e-05	2	NA	0.00187969924812035	0.00187969924812035	TRUE
